spell_id,name_zh,name_en,pdf_pages,provider,needs_review
spl_01M2SPSHH45E9F3EKPM2FETXQ3,恐懼氣味,SMELL OF FEAR,950-951,google-web,true
spl_01M2SPSHH5Q7VQKPTRMDN8TJJF,蛇咬術,SNAKEBITE,953-954,google-web,true
spl_01M2SPSHH5MQ3SFVWC2BC2HPVZ,蛇之迅捷,SNAKE’S SWIFTNESS,953,google-web,true
spl_01M2SPSHH55C4EJ3J1ZWM35DVX,群體蛇之迅捷,"SNAKE’S SWIFTNESS,MASS",953,google-web,true
spl_01M2SPSHH5TMM4T5MCD8Q3KTHN,雪球群,SNOWBALL SWARM,955,google-web,true
spl_01M2SPSHH5BT5TRNGK925GV73A,雪鞋術,SNOWSHOES,955-956,google-web,true
spl_01M2SPSHH5DSN5MWCQR8R8VW7Y,群體雪鞋術,"SNOWSHOES, MASS",956,google-web,true
spl_01M2SPSHH6TCP7P6Z8BQWG0RDT,唯我論,SOLIPSISM,957,google-web,true
spl_01M2SPSHH6EZX2ZKB97BTTDTSM,音波爆破,SONIC BLAST,958,google-web,true
spl_01M2SPSHH6RVTY1KAHXYT0QA8B,音波轟鳴,SONIC RUMBLE,959,google-web,true
spl_01M2SPSHH64S3MQRTNCE27MXF8,音爆術,SONIC SNAP,959-960,google-web,true
spl_01M2SPSHH7735FKXC8GJPF8QMJ,音波長槍,SOUND LANCE,964,google-web,true
spl_01M2SPSHH9KK7F9YQRBASKJPQ0,高等法術矩陣,"SPELL MATRIX,GREATER",971-972,google-web,true
spl_01M2SPSHHAXBBN1ET8ESHW8N9C,蜘蛛詛咒,SPIDER CURSE,975-976,google-web,true
spl_01M2SPSHHBPTGNYBARB4V0PMEY,靈魂之顎,SPIRITJAWS,983-985,google-web,true
spl_01M2SPSHHFQFEMW353491N0B54,黏固馬鞍,STICKY SADDLE,994-995,google-web,true
spl_01M2SPSHHFHBKWBFZJ1ZTA569Q,竊息術,STOLEN BREATH,996-997,google-web,true
spl_01M2SPSHHFHT40FD6Y2MY64QCC,石軀術,STONE BODY,997,google-web,true
spl_01M2SPSHHF0M5S76F2VF1M6YFK,石骨術,STONE BONES,997,google-web,true
spl_01M2SPSHHGQYXF2SWRW8QEZKV4,石球術,STONE SPHERE,998-999,google-web,true
spl_01M2SPSHHGJ3YYXH9D5075Q2YZ,石蜘蛛,STONE SPIDERS,999,google-web,true
spl_01M2SPSHHGF17FPWGJYEQ5G79S,石牢術,STONEHOLD,1001,google-web,true
spl_01M2SPSHHG1YY7GHFP33N9DC2T,元素狂怒風暴,STORM OF ELEMENTAL FURY,1001-1002,google-web,true
spl_01M2SPSHHHM7HNEXKV6XPH4GST,風暴之塔,STORM TOWER,1004-1005,google-web,true
spl_01M2SPSHHJ3H0PJC39T0F313H1,震懾射線,STUN RAY,1007,google-web,true
spl_01M2SPSHHJAKXSD268BAZ8FRW5,震懾吐息,STUNNING BREATH,1007,google-web,true
spl_01M2SPSHHJHAYQ18PFJV0K6DRR,高等震懾吐息,"STUNNING BREATH,GREATER",1007-1008,google-web,true
spl_01M2SPSHHJSBYMEGYGB5QCT3KE,潛沒船隻,SUBMERGE SHIP,1009,google-web,true
spl_01M2SPSHHK10RDM7R1TNCNJRDW,突發石筍,SUDDEN STALAGMITE,1010,google-web,true
spl_01M2SPSHHKF30GKEBPDBARYN23,召喚巴布魔,SUMMON BABAU DEMON,1011-1012,google-web,true
spl_01M2SPSHHKK56V0B7FM8FQJSBJ,召喚鬚魔,SUMMON BEARDED DEVIL,1012,google-web,true
spl_01M2SPSHHK3VG0AYPQPXDCW9JR,召喚布拉尼愛剌天族,SUMMON BRALANI ELADRIN,1012,google-web,true
spl_01M2SPSHHKAGAWGMHY6HR4DFNH,召喚元素微粒群,SUMMON ELEMENTITE SWARM,1014,google-web,true
spl_01M2SPSHHM4TCFYZBBZKJWG0YW,召喚高等元素,SUMMON GREATER ELEMENTAL,1015,google-web,true
spl_01M2SPSHHM5XCX8XEBPGVY6CJ8,召喚犬首神使,SUMMON HOUND ARCHON,1016,google-web,true
spl_01M2SPSHHNFZXJ15Y9C63623CR,壓制刻文,SUPPRESS GLYPH,1020,google-web,true
spl_01M2SPSHHNDPDSK0XW9VESBFR1,穩固步伐,SUREFOOT,1021,google-web,true
spl_01M2SPSHHNQ59A6AQVXMH2W3KF,懸置沉默,SUSPENDED SILENCE,1022-1023,google-web,true
spl_01M2SPSHHPRYPP5GQTHZWK4FKB,沼肺術,SWAMP LUNG,1023,google-web,true
spl_01M2SPSHHPQYDZS38W3R2X3NP3,沼澤步行,SWAMP STRIDE,1023-1024,google-web,true
spl_01M2SPSHHQF1WBJCRXN8VGJ2J8,法術失落徽記,SYMBOL OF SPELL LOSS,1028-1029,google-web,true
