法術,英文名稱,欄位,修正前,修正後
惡意變形術,Baleful Polymorph,duration,永久 豁免：強韌通過則無效，意志通過則部分生效；見正文,永久
惡意變形術,Baleful Polymorph,saving_throw,,強韌通過則無效，意志通過則部分生效；見正文
移形換影,Baleful Transposition,target_text,體型在大型以下的兩個生物持 續時間：立即,體型在大型以下的兩個生物
移形換影,Baleful Transposition,duration,,立即
絕望術,Bane,duration,1 分鐘/每等級 豁免：意志，通過則無效,1 分鐘/每等級
絕望術,Bane,saving_throw,,意志，通過則無效
放逐術,Banishment,duration,立即 豁免：意志，通過則無效,立即
放逐術,Banishment,saving_throw,,意志，通過則無效
樹膚術,Barkskin,duration,10 分鐘/每等級 豁免：無,10 分鐘/每等級
樹膚術,Barkskin,saving_throw,,無
熊之堅韌,Bear’s Endurance,duration,1 分鐘/每等級 豁免：意志，通過則無效（無害）,1 分鐘/每等級
熊之堅韌,Bear’s Endurance,saving_throw,,意志，通過則無效（無害）
污染術,Befoul,components,,語言，姿勢，材料
污染術,Befoul,casting_time,,1 分鐘
污染術,Befoul,range_text,,接觸
污染術,Befoul,area_text,,100 尺/每等級×100 尺/每等級×10 尺/每等級體積的水
污染術,Befoul,duration,,永久；見描述
污染術,Befoul,saving_throw,,無；見描述
污染術,Befoul,spell_resistance,,不可
污染術,Befoul,description_zh,"術成分：語言，姿勢，材料施
法時間：1 分鐘
範圍：接觸
區域：100 尺/每等級×100 尺/每等級×10 尺/每等級體積的水
持續時間：永久；見描述
豁免檢定：無；見描述
法術抗力：不可
施法者令水（或其他液體）腐化並產生輕微的毒性。受…","施法者令水（或其他液體）腐化並產生輕微的毒性。受影響水中的所有不大於 1HD 的
生物在施法完成時立刻死去。 任何引用這些水的人必須通過一個強韌豁免否則將承受 1d4
點體質傷害。進入水中的任何至少有 2HD 的生物需要進行豁免如同喝下水一…"
降咒,Bestow Curse,duration,永久 豁免：意志，通過則無效,永久
降咒,Bestow Curse,saving_throw,,意志，通過則無效
束縛大法,Binding,duration,見正文（可解消） 豁免：意志，通過則無效；見正文,見正文（可解消）
束縛大法,Binding,saving_throw,,意志，通過則無效；見正文
束縛之雪,Binding Snow,components,言語、姿勢、法器，雪地施 法時間：一個標準動作,言語、姿勢、法器，雪地
束縛之雪,Binding Snow,casting_time,,一個標準動作
君王之齧,bite of the king,range_text,,接觸
君王之齧,bite of the king,target_text,,體型不超過施法者的活體生物
君王之齧,bite of the king,duration,,1 輪/每等級
君王之齧,bite of the king,saving_throw,,堅韌無效
君王之齧,bite of the king,spell_resistance,,可
君王之齧,bite of the king,description_zh,"作用距離：接觸
作用物件：體型不超過施法者的活體生物
時效：1 輪/每等級
豁免：堅韌無效
抗力：可
你成功通過近戰接觸攻擊命中目標後，它必須通過檢定，否則將被你整個吞下。在旁觀
者看來，你的胃突然膨大數倍，在吞下目標後，又立即復原。
對於…","你成功通過近戰接觸攻擊命中目標後，它必須通過檢定，否則將被你整個吞下。在旁觀
者看來，你的胃突然膨大數倍，在吞下目標後，又立即復原。
對於受害者來說，什麼也見不到。它現在身處一個臨時的“腹腔”次元內。在這個次元內，
受害者每輪受到 2d8+…"
黑觸手,Black Tentacles,duration,1 輪/每等級（可解消） 豁免：無,1 輪/每等級（可解消）
黑觸手,Black Tentacles,saving_throw,,無
劍刃護壁,Blade Barrier,duration,1 分鐘/每等級（可解消） min./level （D） 豁免：反射減半或反射通過則無效；見正文,1 分鐘/每等級（可解消） min./level （D）
劍刃護壁,Blade Barrier,saving_throw,,反射減半或反射通過則無效；見正文
瀆神之語,Blasphemy,duration,立即 豁免：無，或意志通過則無效；見正文 or Will negates; see text,立即
瀆神之語,Blasphemy,saving_throw,,無，或意志通過則無效；見正文 or Will negates; see text
祝福術,Bless,duration,1 分鐘/每等級 豁免：無,1 分鐘/每等級
祝福術,Bless,saving_throw,,無
祝福聖水,Bless Water,duration,立即 豁免：意志，通過則無效（物品）,立即
祝福聖水,Bless Water,saving_throw,,意志，通過則無效（物品）
祝福武器,Bless Weapon,duration,1 分鐘/每等級 豁免：無,1 分鐘/每等級
祝福武器,Bless Weapon,saving_throw,,無
枯萎術,Blight,duration,立即 豁免：強韌減半；見正文,立即
枯萎術,Blight,saving_throw,,強韌減半；見正文
目盲/耳聾術,Blindness/Deafness,duration,永久（可解消） 豁免：強韌，通過則無效,永久（可解消）
目盲/耳聾術,Blindness/Deafness,saving_throw,,強韌，通過則無效
朦朧術,Blur,duration,1 分鐘/每等級（可解消） 豁免：意志，通過則無效（無害）,1 分鐘/每等級（可解消）
朦朧術,Blur,saving_throw,,意志，通過則無效（無害）
白骨之弦,Bonefiddle,target_text,具有骨骼或是外骨骼的生物持,具有骨骼或是外骨骼的生物
白骨之弦,Bonefiddle,duration,,專注，直到 1 輪/每等級
白骨之弦,Bonefiddle,saving_throw,,強韌過則無效
白骨之弦,Bonefiddle,spell_resistance,,可
白骨之弦,Bonefiddle,description_zh,"續時間：專注，直到 1 輪/每等級豁
免檢定：強韌過則無效
法術抗力：可
當你哼著刺耳的曲調時，你同時用你的中指摩擦拇指如同琴弓在小提琴上來回一般。你在
你的周遭看到了一個半透明的白骨小提琴弓出現，並且進入了你目標的身體之中。 它開始來
回…","當你哼著刺耳的曲調時，你同時用你的中指摩擦拇指如同琴弓在小提琴上來回一般。你在
你的周遭看到了一個半透明的白骨小提琴弓出現，並且進入了你目標的身體之中。 它開始來
回摩擦著目標，如同將他當成小提琴般的演奏。
你在目標生物上方召喚出一個虛體的…"
破除結界,Break Enchantment,duration,立即 豁免：見正文,立即
破除結界,Break Enchantment,saving_throw,,見正文
牛之力量,Bull’s Strength,duration,1 分鐘/每等級 豁免：意志，通過則無效（無害）,1 分鐘/每等級
牛之力量,Bull’s Strength,saving_throw,,意志，通過則無效（無害）
燃燒之手,Burning Hands,duration,立即 豁免：反射減半,立即
燃燒之手,Burning Hands,saving_throw,,反射減半
寒冰暴怒,Burst Of Glacial Wrath,duration,瞬間 豁免：強韌，減半,瞬間
寒冰暴怒,Burst Of Glacial Wrath,saving_throw,,強韌，減半
召喚暮光守護者,Call Of The Twilight Defender,duration,1 回合/等級 豁免：無,1 回合/等級
召喚暮光守護者,Call Of The Twilight Defender,saving_throw,,無
充能音爆術,Channeled Sound Burst,components,語言，姿勢 施放時間：見下文,語言，姿勢
充能音爆術,Channeled Sound Burst,casting_time,,見下文
墳墓之寒,Chill Of The Grave,casting_time,1 標準動作 作用距離：近,1 標準動作
墳墓之寒,Chill Of The Grave,range_text,,近
密封蛛網術,Choking Cobwebs,components,語言，姿勢 施放時間：一個標準動作,語言，姿勢
密封蛛網術,Choking Cobwebs,casting_time,,一個標準動作
密封蛛網術,Choking Cobwebs,effect_text,10 尺半徑擴散滿是灰塵的網持 續時間：1 分鐘/等級（可解消）,10 尺半徑擴散滿是灰塵的網
密封蛛網術,Choking Cobwebs,duration,,1 分鐘/等級（可解消）
攀升之樹,Climbing Tree,components,語言，姿勢，法器 施放時間：一個整輪動作,語言，姿勢，法器
攀升之樹,Climbing Tree,casting_time,,一個整輪動作
勇氣披風,Cloak Of Bravery,duration,10 分鐘/等級 豁免：意志，通過則無效（無害）,10 分鐘/等級
勇氣披風,Cloak Of Bravery,saving_throw,,意志，通過則無效（無害）
陰影披風,Cloak Of Shade,range_text,,接觸
陰影披風,Cloak Of Shade,area_text,接觸,
奧克斯之攫,Clutch Of Orcus,range_text,,中
奧克斯之攫,Clutch Of Orcus,target_text,,1 個類人生物
奧克斯之攫,Clutch Of Orcus,duration,,專注
奧克斯之攫,Clutch Of Orcus,saving_throw,,堅韌無效
奧克斯之攫,Clutch Of Orcus,spell_resistance,,可
奧克斯之攫,Clutch Of Orcus,description_zh,"作用距離：中
作用物件：1 個類人生物
時效：專注
豁免：堅韌無效
抗力：可
魔法的力量抓住物件的心臟（或同等作用的生命器官）並開始狠狠的擠壓它。受害者狀
似突發心臟病（被麻痹），同時每輪受到 1d3 點傷害（（萬法大全）為 1d12 每輪…","魔法的力量抓住物件的心臟（或同等作用的生命器官）並開始狠狠的擠壓它。受害者狀
似突發心臟病（被麻痹），同時每輪受到 1d3 點傷害（（萬法大全）為 1d12 每輪）。施術者
必須每輪都保持專注。清醒的受術者每輪都能重新作豁免檢定以擺脫此法術…"
劍刃外套,Coat Of Arms,components,語言，姿勢 施放時間：一個標準動作,語言，姿勢
劍刃外套,Coat Of Arms,casting_time,,一個標準動作
才能融合,Combined Talent,components,語言，姿勢 施放時間：一個標準動作,語言，姿勢
才能融合,Combined Talent,casting_time,,一個標準動作
衰亡之域,Consumptive Field,range_text,,個人
衰亡之域,Consumptive Field,area_text,,以你為中心的半徑 30 英尺的球狀放射領域
衰亡之域,Consumptive Field,duration,,1 輪每等級
衰亡之域,Consumptive Field,saving_throw,,意志無效
衰亡之域,Consumptive Field,spell_resistance,,可
衰亡之域,Consumptive Field,description_zh,"作用距離：個人
作用範圍：以你為中心的半徑 30 英尺的球狀放射領域
持續時間：1 輪每等級
豁免檢定：意志無效
法術抗力：可
你從附近的重傷的生物體內抽離出它們那正在消退的生命力量，並用之以增強自身。施
法後，你製造出一個吸取能量的死亡領…","你從附近的重傷的生物體內抽離出它們那正在消退的生命力量，並用之以增強自身。施
法後，你製造出一個吸取能量的死亡領域。範圍內所有 Hp 小於 0 的生物將立即死亡，除非
通過豁免檢定。每個生物的死亡，都將使你獲得 1d8 點臨時 Hp；你的力…"
觸發術,Contingency,casting_time,至少 10 分鐘；見說明距 離：個人,至少 10 分鐘；見說明
觸發術,Contingency,range_text,,個人
蠕黯幽觸,Crawling Darkness,casting_time,1 整輪距 離：個人,1 整輪
蠕黯幽觸,Crawling Darkness,range_text,,個人
造魂術,Create Fetch,components,V、S、M 施法動作：標準動作,V、S、M
造魂術,Create Fetch,casting_time,,標準動作
造魂術,Create Fetch,effect_text,一個你的複製品持,一個你的複製品
造魂術,Create Fetch,duration,,10 分鐘/等級
造魂術,Create Fetch,saving_throw,,無
造魂術,Create Fetch,spell_resistance,,不可
造魂術,Create Fetch,description_zh,"續時間：10 分鐘/等級豁
免檢定：無
法術抗力：不可
你拔下一根你的頭髮，做出一個召喚的手勢，另外一個你出現在附近。
你在法術的持續時間內，創造出完全與你相似的一個魂魄。它僅僅是一個活靈活現的複製
品，魂魄沒有心智，但是能模仿你的動作，或…","你拔下一根你的頭髮，做出一個召喚的手勢，另外一個你出現在附近。
你在法術的持續時間內，創造出完全與你相似的一個魂魄。它僅僅是一個活靈活現的複製
品，魂魄沒有心智，但是能模仿你的動作，或者完成一些簡單的任務。這個創造物和你一樣大小，
佔據同樣…"
榮耀之冠,Crown Of Glory,casting_time,1 整輪距 離：20 尺,1 整輪
榮耀之冠,Crown Of Glory,range_text,,20 尺
墓穴守衛之觸,Cryptwarden's Grasp,components,語言，姿勢 施放時間：一個標準動作,語言，姿勢
墓穴守衛之觸,Cryptwarden's Grasp,casting_time,,一個標準動作
記憶結晶,Crystalline Memories,components,語言，姿勢 施放時間：一個迅捷動作,語言，姿勢
記憶結晶,Crystalline Memories,casting_time,,一個迅捷動作
元素領主的詛咒,Curse Of The Elemental Lords,duration,24 小時 豁免：意志，通過則無效,24 小時
元素領主的詛咒,Curse Of The Elemental Lords,saving_throw,,意志，通過則無效
詛咒之刃,Cursed Blade,duration,1 分鐘/等級 豁免：無,1 分鐘/等級
詛咒之刃,Cursed Blade,saving_throw,,無
黑暗之矢,Darkbolt,range_text,,中距（100尺+10尺/等級）
黑暗之矢,Darkbolt,area_text,中距（100尺+10尺/等級）,
曙光爆發,Dawn Burst,range_text,近距（25 英尺+5 英尺/2 等級） 面積：10 英尺半徑爆發,近距（25 英尺+5 英尺/2 等級）
曙光爆發,Dawn Burst,area_text,,10 英尺半徑爆發
致命熔岩,Deadly Lahar,range_text,60 英尺. 面積：錐狀擴散,60 英尺.
致命熔岩,Deadly Lahar,area_text,,錐狀擴散
雷鳴震爆,Deafening Blast,range_text,中距（100 英尺+10 英尺/每等級） 面積: 20-ft.半徑擴散,中距（100 英尺+10 英尺/每等級）
雷鳴震爆,Deafening Blast,area_text,,20-ft.半徑擴散
雷鳴之刃,Deafening Clang,casting_time,1 迅捷動作目 標：你的武器,1 迅捷動作
雷鳴之刃,Deafening Clang,target_text,,你的武器
死亡裝甲,Death Armor,range_text,,個人
死亡裝甲,Death Armor,area_text,個人,
死亡契約,Death Pact,range_text,,接觸
死亡契約,Death Pact,area_text,接觸,
臨終痛苦,Death Throes,range_text,,個人
臨終痛苦,Death Throes,area_text,個人,
死之尖叫,Death's Call,range_text,"10 英尺. 面積：10 英尺半徑爆發, 以你為中心",10 英尺.
死之尖叫,Death's Call,area_text,,"10 英尺半徑爆發, 以你為中心"
死亡視線,Deathsight,range_text,,個人
死亡視線,Deathsight,area_text,個人,
腐爛,Decomposition,range_text,,50 尺
腐爛,Decomposition,area_text,50 尺 以你為中心半徑 50 尺放射範圍內的活著的敵人,以你為中心半徑 50 尺放射範圍內的活著的敵人
誘餌幻象,Decoy Image,range_text,,遠距（400尺+40尺/等級）
誘餌幻象,Decoy Image,area_text,遠距（400尺+40尺/等級）,
深呼吸,Deep Breath,range_text,,個人
深呼吸,Deep Breath,area_text,個人,
深度暗視,Deeper Darkvision,range_text,,接觸
深度暗視,Deeper Darkvision,area_text,接觸,
脫水術,Dehydrate,range_text,,中距（100尺+10尺/等級）
脫水術,Dehydrate,area_text,中距（100尺+10尺/等級）,
延緩發病,Delay Disease,range_text,,接觸
延緩發病,Delay Disease,area_text,接觸,
自大狂,Delusions Of Grandeur,range_text,,中距（100 尺+10 尺/等級）
自大狂,Delusions Of Grandeur,area_text,中距（100 尺+10 尺/等級）,
惡魔挽歌,Demon Dirge,range_text,,近距（25尺/+5尺/2等級）
惡魔挽歌,Demon Dirge,area_text,近距（25尺/+5尺/2等級）,
惡魔之皮,Demonhide,range_text,,接觸
惡魔之皮,Demonhide,area_text,接觸,
脫水氣泡,Desiccating Bubble,range_text,,中距（100 尺+10 尺/等級）
脫水氣泡,Desiccating Bubble,area_text,中距（100 尺+10 尺/等級）,
剝奪術,Despoil,components,,語言，姿勢，材料
剝奪術,Despoil,casting_time,,1 分鐘
剝奪術,Despoil,range_text,,接觸
剝奪術,Despoil,target_text,,100 尺半徑/每等級
剝奪術,Despoil,duration,,立即
剝奪術,Despoil,saving_throw,,強韌通過則部分生效（植物）或強韌通過則無效（其他活物）
剝奪術,Despoil,spell_resistance,,可
剝奪術,Despoil,description_zh,"術成分：語言，姿勢，材料施
法時間：1 分鐘
距離：接觸
目標：100 尺半徑/每等級
持續時間：立即
豁免檢定：強韌通過則部分生效（植物）或強韌通過則無效（其他活物）
法術抗力：可
施法者令一大片區域枯萎腐化。1HD 或更少的植物枯萎並死…","施法者令一大片區域枯萎腐化。1HD 或更少的植物枯萎並死去，並且這個區域再也無法
支援這種植物生存。多於 1HD 的植物必須通過強韌豁免否則死去，即便成功通過豁免仍需
承受 5d6 傷害。所有範圍內的非植物活物（不包括施法者）必須通過一個強…"
偵測異形,Detect Aberration,casting_time,標準動作 距 離 ：60 尺,標準動作
偵測異形,Detect Aberration,range_text,,60 尺
偵測邪惡,Detect Evil,casting_time,一個標準動作距 離：60 英尺,一個標準動作
偵測邪惡,Detect Evil,range_text,,60 英尺
偵測宿敵,Detect Favored Enemy,casting_time,1 標準動作範 圍：60 尺,1 標準動作
偵測宿敵,Detect Favored Enemy,range_text,,60 尺
偵測毒素,Detect Poison,range_text,近距（25 英尺+5 英尺/2 等級） 目標或區域：一個生物、物品或 5 立方英尺空間,近距（25 英尺+5 英尺/2 等級）
偵測毒素,Detect Poison,target_text,,一個生物、物品或 5 立方英尺空間
偵測探知,Detect Scrying,components,言語，姿勢，材料施 法時間： 一個標準動作,言語，姿勢，材料
偵測探知,Detect Scrying,casting_time,,一個標準動作
魔鬼凋亡,Devil Blight,range_text,,近距（25尺+5尺/2等級）
魔鬼凋亡,Devil Blight,area_text,近距（25尺+5尺/2等級）,
鑽石鋼鐵,Diamondsteel,range_text,,接觸
鑽石鋼鐵,Diamondsteel,area_text,接觸,
植物凋零,Diminish Plants,casting_time,一個標準動作距,一個標準動作
植物凋零,Diminish Plants,range_text,,見說明
植物凋零,Diminish Plants,target_text,,見說明
植物凋零,Diminish Plants,duration,,立即
植物凋零,Diminish Plants,saving_throw,,無
植物凋零,Diminish Plants,spell_resistance,,不可
植物凋零,Diminish Plants,description_zh,"離：見說明
目標或區域： 見說明
持續時間：立即
豁免檢定：無
法術抗力：不可
此法術有兩種效用。
修剪：這種用法使得一個範圍內的植物（法術距離：長，400 英尺+40 英尺/等級）縮到
原來的 1/3 體積，解開糾纏在一起的枝杈並變得更稀…","此法術有兩種效用。
修剪：這種用法使得一個範圍內的植物（法術距離：長，400 英尺+40 英尺/等級）縮到
原來的 1/3 體積，解開糾纏在一起的枝杈並變得更稀疏。被影響的植物看上去就好象被仔細
修剪過一樣。
你可以選擇受影響區域為半徑 1…"
恐龍暴走,Dinosaur Stampede,range_text,,中距（100尺+10尺/等級）
恐龍暴走,Dinosaur Stampede,area_text,中距（100尺+10尺/等級） 半徑20尺發散,半徑20尺發散
極度饑渴,Dire Hunger,range_text,,近距（25尺+5尺/2等級）
極度饑渴,Dire Hunger,area_text,近距（25尺+5尺/2等級）,
送葬曲,Dirge,casting_time,1 輪範 圍：50 尺,1 輪
送葬曲,Dirge,range_text,,50 尺
不諧哀歌,Dirge Of Discord,range_text,,近距（25 尺+5 尺/2 等級）
不諧哀歌,Dirge Of Discord,area_text,近距（25 尺+5 尺/2 等級） 20 尺半徑發散,20 尺半徑發散
偽裝五彩池,Discolor Pool,range_text,,近距（25 尺+5 尺/2 等級）
偽裝五彩池,Discolor Pool,area_text,近距（25 尺+5 尺/2 等級）,
偽裝不死生物,Disguise Undead,casting_time,1 標準動作範 圍：接觸,1 標準動作
偽裝不死生物,Disguise Undead,range_text,,接觸
解除魔法,Dispel Magic,range_text,中距 （100 英尺+10 英尺/等級） 目標或 區域：一個施法者、生物或物體；或半徑 20 英尺爆發範圍,中距 （100 英尺+10 英尺/等級）
解除魔法,Dispel Magic,target_text,,一個施法者、生物或物體；或半徑 20 英尺爆發範圍
解除防護,Dispel Ward,range_text,,中距（100 尺+10 尺/等級）
解除防護,Dispel Ward,area_text,中距（100 尺+10 尺/等級）,
除水術,Dispel Water,range_text,中距（100 英尺+10 呎/等級） 目標或區域：見下文,中距（100 英尺+10 呎/等級）
除水術,Dispel Water,target_text,,見下文
驅魔屏障,Dispelling Screen,range_text,,近距（25 尺+5 尺/2 等級）
驅魔屏障,Dispelling Screen,area_text,近距（25 尺+5 尺/2 等級）,
不安,Disquietude,range_text,,近距（25 尺+5 尺/2 等級）
不安,Disquietude,area_text,近距（25 尺+5 尺/2 等級）,
高等打擊死靈,"Disrupt Undead,Greater",range_text,,近距（25 尺+5 尺/2 等級）
高等打擊死靈,"Disrupt Undead,Greater",area_text,近距（25 尺+5 尺/2 等級）,
不諧詠唱,Dissonant Chant,range_text,,近距（25 尺+5 尺/2 等級）
不諧詠唱,Dissonant Chant,area_text,近距（25 尺+5 尺/2 等級） 半徑 100 尺散發,半徑 100 尺散發
不諧和音,Dissonant Chord,range_text,,10 尺
不諧和音,Dissonant Chord,area_text,10 尺 以你為中心半徑 10 尺爆發,以你為中心半徑 10 尺爆發
扭曲語言,Distort Speech,range_text,,近距（25 尺+5 尺/2 等級）
扭曲語言,Distort Speech,area_text,近距（25 尺+5 尺/2 等級）,
分心,Distract,range_text,,中距（100 尺+10 尺/等級）
分心,Distract,area_text,中距（100 尺+10 尺/等級）,
誤導攻擊,Distract Assailant,range_text,,近距（25 尺+5 尺/2 等級）
誤導攻擊,Distract Assailant,area_text,近距（25 尺+5 尺/2 等級）,
分心射線,Distracting Ray,range_text,,近距（25 尺+5 尺/2 等級）
分心射線,Distracting Ray,area_text,近距（25 尺+5 尺/2 等級）,
神聖靈巧,Divine Agility,range_text,,接觸
神聖靈巧,Divine Agility,area_text,接觸,
神恩,Divine Favor,casting_time,一個標準動作距 離：個人,一個標準動作
神恩,Divine Favor,range_text,,個人
神聖洞察,Divine Insight,range_text,,個人
神聖洞察,Divine Insight,area_text,個人,
神聖封鎖,Divine Interdiction,range_text,,近距（25 尺+5 尺/2 等級）
神聖封鎖,Divine Interdiction,area_text,近距（25 尺+5 尺/2 等級） 以一個生物，物體或空間中一點為中心 10 吃半徑放射,以一個生物，物體或空間中一點為中心 10 吃半徑放射
神能,Divine Power,casting_time,一個標準動作距 離：個人,一個標準動作
神能,Divine Power,range_text,,個人
聖佑術,Divine Protection,range_text,,中距（100 尺+10 尺/等級）
聖佑術,Divine Protection,area_text,中距（100 尺+10 尺/等級）,
哀傷之曲,Dolorous Blow,range_text,,接觸
哀傷之曲,Dolorous Blow,area_text,接觸,
厄難聖甲蟲,Doom Scarabs,range_text,60 呎 影響區域；錐形爆發,60 呎
厄難聖甲蟲,Doom Scarabs,area_text,,錐形爆發
下降氣流,Downdraft,range_text,,遠距（400 尺+40 尺/等級）
下降氣流,Downdraft,area_text,遠距（400 尺+40 尺/等級）,
龍之力量,Draconic Might,range_text,,接觸
龍之力量,Draconic Might,area_text,接觸,
次級龍族盟約,"Dragon Ally,Lesser",range_text,,近距（25 尺+5 尺/2 等級）
次級龍族盟約,"Dragon Ally,Lesser",area_text,近距（25 尺+5 尺/2 等級）,
龍之吐息,Dragon Breath,range_text,,個人
龍之吐息,Dragon Breath,area_text,個人,
龍息術,Dragon Breath,range_text,,個人
龍息術,Dragon Breath,area_text,個人,
龍之視野,Dragonsight,range_text,,個人
龍之視野,Dragonsight,area_text,個人,
龍膚術,Dragonskin,range_text,,個人
龍膚術,Dragonskin,area_text,個人,
溺斃術,Drown,range_text,,近距（25 尺+5 尺/2 等級）
溺斃術,Drown,area_text,近距（25 尺+5 尺/2 等級）,
地震術,Earthquake,saving_throw,,見 說 明
地震術,Earthquake,spell_resistance,,無
地震術,Earthquake,description_zh,"豁 免 檢 定 ：見 說 明法
術抗力：無
當你施展了 地震術後，地面開始劇烈而高度局部化的震動。這震動使生物跌倒，建築物 倒
塌，地面開裂等。這些效果將持續 1 輪，其間地面上的生物無法移動或攻擊。地面上的施法者
需通過專注檢定（DC=2…","當你施展了 地震術後，地面開始劇烈而高度局部化的震動。這震動使生物跌倒，建築物 倒
塌，地面開裂等。這些效果將持續 1 輪，其間地面上的生物無法移動或攻擊。地面上的施法者
需通過專注檢定（DC=20+法術等級）才能施法，否則會失去嘗試施展的…"
綠寶石炸裂,Emerald Burst,range_text,近距（25 呎+5 呎/每兩等級） 影響範圍：半徑 20 呎爆發,近距（25 呎+5 呎/每兩等級）
綠寶石炸裂,Emerald Burst,area_text,,半徑 20 呎爆發
終結爭執,End of Strife,range_text,80 呎 影響範圍：以你為中心半徑 80 呎彌漫範圍,80 呎
終結爭執,End of Strife,area_text,,以你為中心半徑 80 呎彌漫範圍
至高風暴,Exalted Fury,range_text,40 呎 影響範圍：以你為中心半徑 40 呎爆發範圍,40 呎
至高風暴,Exalted Fury,area_text,,以你為中心半徑 40 呎爆發範圍
爆裂符文法陣,Explosive Rune Field,range_text,中距（100 呎+10 呎/每等級） 影響範圍：20 呎爆炸半徑,中距（100 呎+10 呎/每等級）
爆裂符文法陣,Explosive Rune Field,area_text,,20 呎爆炸半徑
君王之目,eyes of the king,casting_time,1 分鐘 作用距離：無限,1 分鐘
君王之目,eyes of the king,range_text,,無限
君王之目,eyes of the king,effect_text,魔法傳感 時效：專注+5 輪，可至每等級 1 分鐘（消解）,魔法傳感
君王之目,eyes of the king,duration,,專注+5 輪，可至每等級 1 分鐘（消解）
虛假景象,False Vision,duration,1 小時/每等級豁 免檢定：無,1 小時/每等級
虛假景象,False Vision,saving_throw,,無
吸血鬼王之牙,Fangs Of The Vampire King,range_text,,個人
吸血鬼王之牙,Fangs Of The Vampire King,target_text,,自身
吸血鬼王之牙,Fangs Of The Vampire King,duration,,1 分鐘每等級
吸血鬼王之牙,Fangs Of The Vampire King,description_zh,"作用距離：個人
作用物件：自身
時效：1 分鐘每等級
“你發出邪惡的嘶嘶笑聲，露出尖齒來痛飲敵人的血液。”
你長出吸血鬼般的利齒，並能以之作齧咬攻擊。
死者之書：你的攻擊檢定為在 10+力量調整值。你的齧咬攻擊造成 1d6 點 傷 害 及 …","“你發出邪惡的嘶嘶笑聲，露出尖齒來痛飲敵人的血液。”
你長出吸血鬼般的利齒，並能以之作齧咬攻擊。
死者之書：你的攻擊檢定為在 10+力量調整值。你的齧咬攻擊造成 1d6 點 傷 害 及 1 點體
質傷害。如果你以其它武器作全回合攻擊，還可以…"
救世宴,Feast of Champions,duration,1 小時，12 小時；參閱說明 豁 免檢定：無效,1 小時，12 小時；參閱說明
救世宴,Feast of Champions,saving_throw,,無效
食屍鬼之域,Field Of Ghouls,range_text,,個人
食屍鬼之域,Field Of Ghouls,target_text,,以自身為中心的半徑 30 英尺的球狀放射領域
食屍鬼之域,Field Of Ghouls,duration,,1 輪每等級
食屍鬼之域,Field Of Ghouls,saving_throw,,意志無效
食屍鬼之域,Field Of Ghouls,spell_resistance,,可
